Procedure Code,Description
11740,DRAIN BLOOD FROM UNDER NAIL
28310,REVISION OF BIG TOE
28190,REMOVAL OF FOOT FOREIGN BODY
11104, 
11106, 
Q4037,Cast sup shrt leg plaster
L2820,Soft interface below knee se
29405,APPLY SHORT LEG CAST
L1971,CUSTOM BRACES
64450,N BLOCK OTHER PERIPHERAL
L3260,Ambulatory surgical boot eac
11732,REMOVE NAIL PLATE ADD-ON
L2200,Limited ankle motion ea jnt
A5513,Multi den insert custom mold
L2330,Lacer molded to patient mode
28039,EXC FOOT/TOE TUM SC 1.5 CM/>
L4350,ANKLE CONTROL ORTHO PRE OTS
11102, 
J1100,Dexamethasone sodium phos
17250,CHEMICAL CAUTERY TISSUE
L5000,PARTIEL FOOT INSERTS
L1940,Afo molded to patient plasti
A4580,Cast supplies (plaster)
Q4050,Cast supplies unlisted
L1970,Afo plastic molded w/ankle j
11420,EXC H-F-NK-SP B9+MARG 0.5 <
12001,REPAIR SUPERFICIAL WOUND(S)
L2210,Dorsiflexion assist each joi
