Procedure Code,Description
27685,REVISION OF LOWER LEG TENDON
99024,POST OP VISIT
28232,INCISION OF TOE TENDON
28585,REPAIR FOOT DISLOCATION
28510,TREATMENT OF TOE FRACTURE
99215,"Established patient office or other outpatient, visit typically 40 minutes"
27786,TREATMENT OF ANKLE FRACTURE
73650,X-RAY EXAM OF HEEL
27632,EXC LEG/ANKLE LES SC 3 CM/>
99214,"Established patient office or other outpatient, visit typically 25 minutes"
28060,PARTIAL REMOVAL FOOT FASCIA
99231,"Subsequent hospital inpatient care, typically 15 minutes per day"
99223,"Initial hospital inpatient care, typically 70 minutes per day"
99201,"New patient office or other outpatient visit, typically 10 minutes"
11421,EXC H-F-NK-SP B9+MARG 0.6-1
28490,TREAT BIG TOE FRACTURE
28400,TREATMENT OF HEEL FRACTURE
27792,TREATMENT OF ANKLE FRACTURE
99233,"Subsequent hospital inpatient care, typically 35 minutes per day"
27687,REVISION OF CALF TENDON
15853, 
11044,DEB BONE 20 SQ CM/<
28299,CORRECTION HALLUX VALGUS
J2001,Lidocaine injection
28470,TREAT METATARSAL FRACTURE
11045,DEB SUBQ TISSUE ADD-ON
28002,TREATMENT OF FOOT INFECTION
15277,SKN SUB GRFT F/N/HF/G CHILD
28270,RELEASE OF FOOT CONTRACTURE
28820,AMPUTATION OF TOE
10061,DRAINAGE OF SKIN ABSCESS
29581,APPLY MULTLAY COMPRS LWR LEG
28291,CORRJ HALUX RIGDUS W/IMPLT
99205,"New patient office or other outpatient visit, typically 60 minutes"
20240,BONE BIOPSY OPEN SUPERFICIAL
99204,"New patient office or other outpatient visit, typically 45 minutes"
29445,APPLY RIGID LEG CAST
20670,REMOVAL OF SUPPORT IMPLANT
73610,X-RAY EXAM OF ANKLE
29515,APPLICATION LOWER LEG SPLINT
99232,"Subsequent hospital inpatient care, typically 25 minutes per day"
27650,REPAIR ACHILLES TENDON
99211,"Established patient office or other outpatient visit, typically 5 minutes"
28485,TREAT METATARSAL FRACTURE
97598,RMVL DEVITAL TIS ADDL 20 CM<
28041,EXC FOOT/TOE TUM DEP 1.5CM/>
93922,UPR/L XTREMITY ART 2 LEVELS
,
28750,FUSION OF BIG TOE JOINT
28122,PARTIAL REMOVAL OF FOOT BONE
76000,FLUOROSCOPE EXAMINATION
27698,REPAIR OF ANKLE LIGAMENT
15271,SKIN SUB GRAFT TRNK/ARM/LEG
28289,CORRJ HALUX RIGDUS W/O IMPLT
99222,"Initial hospital inpatient care, typically 50 minutes per day"
27690,REVISE LOWER LEG TENDON
99221,"Initial hospital inpatient care, typically 30 minutes per day"
20680,REMOVAL OF SUPPORT IMPLANT
73630,X-RAY EXAM OF FOOT
27665,REPAIR OF LEG TENDON EACH
28297,CORRECTION HALLUX VALGUS
97605,NEG PRESS WOUND TX </=50 CM
28120,PART REMOVAL OF ANKLE/HEEL
