tweet,cleaned_tweet,keywords
Delta 8 is fire Red heart happy puffing,delta  is fire red heart happy puffing,"delta, happy, heart, puffing, red"
HYDRATE!!!! delta 8 is kinda drying!,hydrate delta  is kinda drying,"delta, drying, hydrate, kinda"
" I agree with Dinah; if forced to choose, I'd pick whole plant cannabis over whatever random chemicals might be in the unsupervised regulation of delta 8 (or even delta 8 itself); at least cannabis has been used for thousands of years and we know the harms more or less.", i agree with dinah if forced to choose id pick whole plant cannabis over whatever random chemicals might be in the unsupervised regulation of delta  or even delta  itself at least cannabis has been used for thousands of years and we know the harms more or less,"agree, cannabis, chemicals, choose, delta, dinah, forced, harms, id, know, pick, plant, random, regulation, thousands, unsupervised, used, years"
I don't understand why the FDA and CDC can't get hemp products regulated. I get it that the marijuana industry is upset and lobbying against Delta-8 but come on...LEGALIZE AND REGULATE.,i dont understand why the fda and cdc cant get hemp products regulated i get it that the marijuana industry is upset and lobbying against delta but come onlegalize and regulate,"cdc, come, delta, dont, fda, hemp, industry, lobbying, marijuana, onlegalize, products, regulate, regulated, understand, upset"
" FDA And CDC Issue Warnings On Hemp-Derived Products Containing Delta-8 THC
          On Tuesday, the Food and Drug Administration (FDA) and Centers for Disease Control and Prevention (CDC) issued warnings to consumers about the potential risks of consuming unregulated products...", fda and cdc issue warnings on hempderived products containing delta thc          on tuesday the food and drug administration fda and centers for disease control and prevention cdc issued warnings to consumers about the potential risks of consuming unregulated products,"administration, cdc, centers, consumers, consuming, containing, control, delta, disease, drug, fda, food, hempderived, issue, issued, potential, prevention, products, risks, thc, tuesday, unregulated, warnings"
ngl the delta 8 gummies kinda hit,ngl the delta  gummies kinda hit,"delta, gummies, hit, kinda, ngl"
" ""Adverse events included vomiting, hallucinations, trouble standing, and loss of consciousness.""

More studies are definitely needed on delta-8 THC. Also - I'd like to see more analytical chemistry on these products (purity, adulterants, residual solvents!).", adverse events included vomiting hallucinations trouble standing and loss of consciousnessmore studies are definitely needed on delta thc also  id like to see more analytical chemistry on these products purity adulterants residual solvents,"adulterants, adverse, analytical, chemistry, consciousnessmore, definitely, delta, events, hallucinations, id, included, like, loss, needed, products, purity, residual, solvents, standing, studies, thc, trouble, vomiting"
" The American Association of Poison Control Centers (AAPCC) began monitoring adverse events tied to delta-8 THC and found that from Jan. 1 to July 31, 2021, there were 660 reports of delta-8 THC exposure, nearly 20% of which required hospitalization, according to the CDC.", the american association of poison control centers aapcc began monitoring adverse events tied to delta thc and found that from jan  to july   there were  reports of delta thc exposure nearly  of which required hospitalization according to the cdc,"aapcc, according, adverse, american, association, began, cdc, centers, control, delta, events, exposure, hospitalization, jan, july, monitoring, nearly, poison, reports, required, thc, tied"
You not even getting high off that delta 8 shit. Just migraines for the rest of your life,you not even getting high off that delta  shit just migraines for the rest of your life,"delta, getting, high, just, life, migraines, rest, shit"
" For the science guys: Delta-8 marijuana products can be dangerous, health officials warn", for the science guys delta marijuana products can be dangerous health officials warn,"dangerous, delta, guys, health, marijuana, officials, products, science, warn"
" What are the effects and benefits of delta-8 THC? It largely depends on your body chemistry, dose, and product quality, but by and large users report it gives a more clearheaded and less potent experience than delta-9. Tip: Try gummies for a mellow intro and gauge the vibes", what are the effects and benefits of delta thc it largely depends on your body chemistry dose and product quality but by and large users report it gives a more clearheaded and less potent experience than delta tip try gummies for a mellow intro and gauge the vibes,"benefits, body, chemistry, clearheaded, delta, depends, dose, effects, experience, gauge, gives, gummies, intro, large, largely, mellow, potent, product, quality, report, thc, tip, try, users, vibes"
It's a health and safety thing.  People will put anything in their body nowadays.  Clean or not.  Delta 8 from og source can be great for people BUT more teating and what needa tk be done cause ppl oit here decarbing and converting it from other cannabanoids.,its a health and safety thing  people will put anything in their body nowadays  clean or not  delta  from og source can be great for people but more teating and what needa tk be done cause ppl oit here decarbing and converting it from other cannabanoids,"body, cannabanoids, cause, clean, converting, decarbing, delta, great, health, needa, nowadays, og, oit, people, ppl, safety, source, teating, thing, tk"
I think the most (only?) helpful reminder from this is that Delta-8 THC products often involve use of potentially harmful chemicals to create the concentrations of delta-8 THC.,i think the most only helpful reminder from this is that delta thc products often involve use of potentially harmful chemicals to create the concentrations of delta thc,"chemicals, concentrations, create, delta, harmful, helpful, involve, potentially, products, reminder, thc, think, use"
Delta 8? More like Delta Gr8,delta  more like delta gr,"delta, gr, like"
" FDA, CDC issue delta-8 THC warnings after 100-plus end up in hospitals: More than 100 people in the United States have been hospitalized this year after consuming delta-8 THC products, federal health regulators warned Tuesday. The hospitalizations… ", fda cdc issue delta thc warnings after plus end up in hospitals more than  people in the united states have been hospitalized this year after consuming delta thc products federal health regulators warned tuesday the hospitalizations ,"cdc, consuming, delta, end, fda, federal, health, hospitalizations, hospitalized, hospitals, issue, people, plus, products, regulators, states, thc, tuesday, united, warned, warnings, year"
" I vape Delta 8 - it does the job, won’t get you as high as normal bud in mass quantities, but if you’re just looking for a buzz it’s worth a try!", i vape delta   it does the job wont get you as high as normal bud in mass quantities but if youre just looking for a buzz its worth a try,"bud, buzz, delta, does, high, job, just, looking, mass, normal, quantities, try, vape, wont, worth, youre"
Delta-8 THC draws warning from feds as Illinois again tries to crack down on the hemp product known as ‘diet weed’,delta thc draws warning from feds as illinois again tries to crack down on the hemp product known as diet weed,"crack, delta, diet, draws, feds, hemp, illinois, known, product, thc, tries, warning, weed"
FDA Issues Warnings on Delta-8 THC Products,fda issues warnings on delta thc products,"delta, fda, issues, products, thc, warnings"
FDA and CDC Issue Warnings Regarding Health Risks of Using Delta-8 THC Products,fda and cdc issue warnings regarding health risks of using delta thc products,"cdc, delta, fda, health, issue, products, regarding, risks, thc, using, warnings"
" Definitely indica! You could also look into delta 8, it’s helped me a ton with my anxiety!!", definitely indica you could also look into delta  its helped me a ton with my anxiety,"anxiety, definitely, delta, helped, indica, look, ton"
