Keyword,Frequency
delta,488
thc,104
like,54
high,53
cbd,53
just,50
shit,41
im,38
weed,38
legal,37
products,36
gummies,33
dont,30
edibles,27
really,27
good,26
tried,26
smoke,25
got,23
cannabis,19
people,18
use,17
feel,17
vape,17
love,16
time,16
fda,16
bad,16
ive,16
actually,16
cdc,16
try,15
make,15
thats,15
lol,15
sleep,15
effects,15
know,14
right,14
health,14
pain,13
think,13
way,12
anxiety,12
didnt,12
getting,12
work,12
hemp,12
new,12
hit,12
day,11
took,11
pretty,11
mg,11
gummy,11
great,11
smoking,11
yall,11
thing,11
shop,10
definitely,10
does,10
kinda,10
isnt,10
night,10
fuck,9
diet,9
cause,9
stuff,9
warnings,9
adverse,9
trust,9
help,9
taking,9
face,9
say,9
lmao,9
regular,9
store,9
cart,9
yeah,9
years,8
youre,8
long,8
away,8
control,8
id,8
helped,8
days,8
real,8
bc,8
makes,8
states,8
today,8
drug,8
marijuana,7
nice,7
hitting,7
paranoia,7
stop,7
honestly,7
best,7
want,7
lot,7
gives,7
theyre,7
big,7
feeling,7
state,7
mind,7
gonna,6
pen,6
seriously,6
making,6
coming,6
warning,6
issues,6
aint,6
feds,6
months,6
better,6
worth,6
crazy,6
product,6
bud,6
look,6
vapes,6
illegal,6
stress,6
used,6
wont,6
week,6
straight,6
dangerous,6
hours,6
buy,6
theres,6
safe,6
similar,6
helps,6
life,6
medical,6
doesnt,6
did,6
trying,6
shops,6
happy,6
fan,5
amazing,5
events,5
need,5
going,5
brain,5
maybe,5
job,5
believe,5
alcohol,5
ass,5
kratom,5
using,5
carts,5
deltathc,5
end,5
federal,5
wanna,5
body,5
smoked,5
pens,5
times,5
sure,5
hard,5
called,5
experience,5
gets,5
legalize,5
recommend,5
fucked,5
children,5
enjoy,5
works,5
bought,5
recently,5
little,5
things,5
bit,5
gas,5
finally,5
basically,4
tell,4
local,4
mid,4
research,4
tho,4
couple,4
poison,4
rn,4
thought,4
edible,4
oh,4
vaping,4
quite,4
oil,4
dabs,4
ill,4
plant,4
havent,4
sold,4
difference,4
dispensary,4
sleepy,4
giving,4
quality,4
potent,4
cool,4
went,4
case,4
cases,4
looking,4
personally,4
news,4
loophole,4
doing,4
stronger,4
free,4
selling,4
probably,4
feels,4
market,4
strong,4
legit,4
level,4
anymore,4
joke,4
fucking,4
synthetic,4
low,4
reported,4
joint,4
year,4
advisory,4
yesterday,4
calm,4
bro,4
different,4
safety,4
indica,4
flower,4
chill,4
test,4
helpful,4
focus,4
thoughts,4
fun,4
company,4
risks,4
food,4
unregulated,4
red,3
potential,3
centers,3
consumers,3
issue,3
version,3
heard,3
thanks,3
station,3
guy,3
having,3
wish,3
idk,3
mood,3
concentrations,3
ppl,3
hell,3
yo,3
threw,3
warn,3
benefits,3
anxious,3
mgs,3
pack,3
cannabinoid,3
