Keyword,Frequency
delta,497
like,76
thc,73
just,72
im,72
weed,65
gummies,59
cbd,43
legal,42
shit,38
high,36
good,32
dont,32
sleep,28
really,27
smoke,27
got,26
try,26
time,24
tried,23
feel,23
ive,23
edibles,20
smoking,19
people,19
think,19
stuff,18
bad,17
trying,17
makes,16
lol,16
regular,16
real,14
mg,14
help,14
make,14
love,14
does,13
took,13
hit,13
pain,13
actually,13
need,13
anxiety,13
yall,12
doesnt,12
yeah,12
night,12
going,12
better,12
know,12
gummy,11
great,11
day,11
want,11
use,11
thats,11
bought,11
diet,11
hemp,10
gets,10
gas,10
products,10
bit,10
different,10
fucking,9
vape,9
life,9
did,9
gonna,9
works,9
aint,9
shop,9
illegal,9
state,9
effects,9
nice,9
didnt,9
doing,9
pretty,9
tell,9
youre,9
ass,9
work,9
honestly,8
way,8
isnt,8
today,8
af,8
crazy,8
station,8
okay,8
cart,8
paranoid,8
edible,8
fuck,8
body,8
literally,8
smoked,8
feeling,8
lot,8
years,7
bro,7
getting,7
damn,7
basically,7
theres,7
ate,7
completely,7
ok,7
maybe,7
lmao,7
say,7
texas,7
definitely,7
new,7
bed,7
super,7
thing,7
marijuana,7
gave,7
things,6
bc,6
let,6
quit,6
told,6
face,6
guys,6
half,6
low,6
buy,6
enjoy,6
gives,6
hard,6
tolerance,6
wanna,6
sell,6
wasnt,6
tbh,6
helped,6
states,6
kinda,6
theyre,6
ones,6
used,6
best,6
helps,5
little,5
look,5
strong,5
having,5
eat,5
hittin,5
drug,5
pen,5
thought,5
right,5
fake,5
comes,5
felt,5
product,5
fine,5
carts,5
ago,5
taking,5
using,5
unless,5
away,5
consume,5
cannabis,5
morning,5
careful,5
ill,5
probably,5
dude,5
kind,5
instead,5
alcohol,5
normal,5
recommend,5
paranoia,5
potent,5
hours,5
pens,5
money,5
moment,5
prefer,4
tastes,4
oh,4
wont,4
yesterday,4
effect,4
read,4
sativa,4
talking,4
taste,4
yes,4
unable,4
health,4
variant,4
vapes,4
store,4
tired,4
joke,4
feels,4
far,4
level,4
fucked,4
amazing,4
federally,4
stoned,4
lite,4
deal,4
cool,4
indica,4
actual,4
sure,4
gr,4
similar,4
head,4
mild,4
soon,4
havent,4
piece,4
said,4
dab,4
recently,4
chill,4
bullshit,4
relaxing,4
looking,4
id,4
heart,4
melatonin,4
flower,4
regulation,4
months,4
job,4
idk,4
tiny,4
difference,4
realize,3
kids,3
gone,3
highly,3
purchase,3
asleep,3
taken,3
available,3
banned,3
stick,3
eating,3
man,3
check,3
cause,3
dosage,3
later,3
minutes,3
able,3
loving,3
hot,3
sleeping,3
natural,3
terrible,3
panic,3
race,3
stay,3
cheaper,3
tf,3
fuckin,3
threw,3
long,3
yo,3
causes,3
fast,3
week,3
fear,3
saying,3
fan,3
version,3
send,3
legalized,3
came,3
harder,3
wtf,3
law,3
hand,3
ya,3
effective,3
grow,3
dispensary,3
