date,tweet,cleaned_tweet,keywords,polarity,subjectivity
Aug 14,I mentioned a few weeks ago about one of my neighbors has Parkinsons so bad he can't function. I saw him and he wasn't shaking at all from eating a Delta 8 gummy. I saw him today again and his life has totally turned around.,i mentioned a few weeks ago about one of my neighbors has parkinsons so bad he cant function i saw him and he wasnt shaking at all from eating a delta  gummy i saw him today again and his life has totally turned around,"ago, bad, delta, eating, function, gummy, life, mentioned, neighbors, parkinsons, saw, shaking, today, totally, turned, wasnt, weeks",-0.3,0.5055555555555555
Aug 14,QUESTIONS ABOUT DELTA-8 THC,questions about delta thc,"delta, questions, thc",0.0,0.0
Aug 14,A large Fuzzy Navel and a Delta 8 CBD gummie and I’m probably going to be asleep in a moment,a large fuzzy navel and a delta  cbd gummie and im probably going to be asleep in a moment,"asleep, cbd, delta, fuzzy, going, gummie, im, large, moment, navel, probably",0.21428571428571427,0.42857142857142855
Aug 14,my mom gave me “CBD” gummies and then comes back like “ oh those are actually delta8” GIRL HUHHH IM GONE,my mom gave me cbd gummies and then comes back like  oh those are actually delta girl huhhh im gone,"actually, cbd, comes, delta, gave, girl, gone, gummies, huhhh, im, like, mom, oh",0.0,0.05
Aug 14,delta 8 made me realize it's the psychosis from smoking too much weed that I do enjoy,delta  made me realize its the psychosis from smoking too much weed that i do enjoy,"delta, enjoy, psychosis, realize, smoking, weed",0.30000000000000004,0.35
Aug 14,I should’ve never taken that delta 8 edible cause now I’m throwing up in the T.G.I. Friday’s parking lot!,i shouldve never taken that delta  edible cause now im throwing up in the tgi fridays parking lot,"cause, delta, edible, fridays, im, lot, parking, shouldve, taken, tgi, throwing",0.0,0.0
Aug 14,Delta 8 is PG-13 weed,delta  is pg weed,"delta, pg, weed",0.0,0.0
Aug 14,"""Some are using #delta8 #THC to help heavy consumers lower their tolerance to delta-9. Even slight improvements in the relative potency of #delta9 based on reduced tolerance can equal significant monetary savings.""",some are using delta thc to help heavy consumers lower their tolerance to delta even slight improvements in the relative potency of delta based on reduced tolerance can equal significant monetary savings,"based, consumers, delta, equal, heavy, help, improvements, lower, monetary, potency, reduced, relative, savings, significant, slight, thc, tolerance, using",0.0016666666666666607,0.3583333333333333
Aug 14,taking enough delta 8 gummies to not feel like a giant needle was in my spine yesterday,taking enough delta  gummies to not feel like a giant needle was in my spine yesterday,"delta, feel, giant, gummies, like, needle, spine, taking, yesterday",0.0,0.75
Aug 14,in heaven everything is made of delta 8,in heaven everything is made of delta ,"delta, heaven",0.0,0.0
Aug 15,faded off this delta 8 variant,faded off this delta  variant,"delta, faded, variant",0.0,0.0
Aug 15,Delta 8 be fucking me upLoudly crying faceLoudly crying face,delta  be fucking me uploudly crying faceloudly crying face,"crying, delta, face, faceloudly, fucking, uploudly",-0.3333333333333333,0.6666666666666666
Aug 15,"I want to step back a minute and give a shout out to the red headed step child of our favorite plant. Delta 8 Never complains never compromises and is always there when you’re in a bind respect delta, respect",i want to step back a minute and give a shout out to the red headed step child of our favorite plant delta  never complains never compromises and is always there when youre in a bind respect delta respect,"bind, child, complains, compromises, delta, favorite, headed, minute, plant, red, respect, shout, step, want, youre",0.16666666666666666,0.3333333333333333
Aug 15,"What I can't wrap my mind around is how places only look at people's health as profit. So many customers tell me Delta 8 has medicinal properties that helps with sleep disorder, depression, anxiety, and offers pain relief. Yes, businesses should profit but overcharging people?",what i cant wrap my mind around is how places only look at peoples health as profit so many customers tell me delta  has medicinal properties that helps with sleep disorder depression anxiety and offers pain relief yes businesses should profit but overcharging people,"anxiety, businesses, customers, delta, depression, disorder, health, helps, look, medicinal, mind, offers, overcharging, pain, people, peoples, places, profit, properties, relief, sleep, tell, wrap, yes",0.19999999999999998,0.5
