date,tweet
Sep 14, Delta 8 is fire Red heart happy puffing
Sep 14, HYDRATE!!!! delta 8 is kinda drying!
Sep 14," I agree with Dinah; if forced to choose, I'd pick whole plant cannabis over whatever random chemicals might be in the unsupervised regulation of delta 8 (or even delta 8 itself); at least cannabis has been used for thousands of years and we know the harms more or less."
Sep 14, I don't understand why the FDA and CDC can't get hemp products regulated. I get it that the marijuana industry is upset and lobbying against Delta-8 but come on...LEGALIZE AND REGULATE.
Sep 14," FDA And CDC Issue Warnings On Hemp-Derived Products Containing Delta-8 THC On Tuesday, the Food and Drug Administration (FDA) and Centers for Disease Control and Prevention (CDC) issued warnings to consumers about the potential risks of consuming unregulated products..."
Sep 14, ngl the delta 8 gummies kinda hit
Sep 14," ""Adverse events included vomiting, hallucinations, trouble standing, and loss of consciousness.""

More studies are definitely needed on delta-8 THC. Also - I'd like to see more analytical chemistry on these products (purity, adulterants, residual solvents!)."
Sep 14," The American Association of Poison Control Centers (AAPCC) began monitoring adverse events tied to delta-8 THC and found that from Jan. 1 to July 31, 2021, there were 660 reports of delta-8 THC exposure, nearly 20% of which required hospitalization, according to the CDC."
Sep 14, You not even getting high off that delta 8 shit. Just migraines for the rest of your life
Sep 14," For the science guys: Delta-8 marijuana products can be dangerous, health officials warn"
Sep 14," What are the effects and benefits of delta-8 THC? It largely depends on your body chemistry, dose, and product quality, but by and large users report it gives a more clearheaded and less potent experience than delta-9. Tip: Try gummies for a mellow intro and gauge the vibes"
Sep 14, It's a health and safety thing.  People will put anything in their body nowadays.  Clean or not.  Delta 8 from og source can be great for people BUT more teating and what needa tk be done cause ppl oit here decarbing and converting it from other cannabanoids.
Sep 14, I think the most (only?) helpful reminder from this is that Delta-8 THC products often involve use of potentially harmful chemicals to create the concentrations of delta-8 THC.
Sep 14, Delta 8? More like Delta Gr8
Sep 14," FDA, CDC issue delta-8 THC warnings after 100-plus end up in hospitals: More than 100 people in the United States have been hospitalized this year after consuming delta-8 THC products, federal health regulators warned Tuesday. The hospitalizations… "
Sep 14," I vape Delta 8 - it does the job, won’t get you as high as normal bud in mass quantities, but if you’re just looking for a buzz it’s worth a try!"
Sep 15, Delta-8 THC draws warning from feds as Illinois again tries to crack down on the hemp product known as ‘diet weed’
Sep 15, FDA Issues Warnings on Delta-8 THC Products
Sep 15, FDA and CDC Issue Warnings Regarding Health Risks of Using Delta-8 THC Products
Sep 15," Definitely indica! You could also look into delta 8, it’s helped me a ton with my anxiety!!"
Sep 15," Health Advisory about Delta-8-THC: 

- Typically in small amounts in #cannabis
-  Made at high concentrations in some hemp and CBD products
- Adults & kids hospitalized after ingestion, w/ symptoms of cannabis intoxication
- No antidote"
Sep 15," Delta-8 Cannabis Products Can Cause Scary Health Effects, the CDC and FDA Warn - Self"
Sep 15, What delta 8 carts ya’ll like? I haven’t found one that hit.
