date,tweet
Aug 14,I mentioned a few weeks ago about one of my neighbors has Parkinsons so bad he can't function. I saw him and he wasn't shaking at all from eating a Delta 8 gummy. I saw him today again and his life has totally turned around.
Aug 14,QUESTIONS ABOUT DELTA-8 THC
Aug 14,A large Fuzzy Navel and a Delta 8 CBD gummie and I’m probably going to be asleep in a moment
Aug 14,my mom gave me “CBD” gummies and then comes back like “ oh those are actually delta8” GIRL HUHHH IM GONE
Aug 14,delta 8 made me realize it's the psychosis from smoking too much weed that I do enjoy
Aug 14,I should’ve never taken that delta 8 edible cause now I’m throwing up in the T.G.I. Friday’s parking lot!
Aug 14,Delta 8 is PG-13 weed
Aug 14,"""Some are using #delta8 #THC to help heavy consumers lower their tolerance to delta-9. Even slight improvements in the relative potency of #delta9 based on reduced tolerance can equal significant monetary savings."""
Aug 14,taking enough delta 8 gummies to not feel like a giant needle was in my spine yesterday
Aug 14,in heaven everything is made of delta 8
Aug 15,faded off this delta 8 variant
Aug 15,Delta 8 be fucking me upLoudly crying faceLoudly crying face
Aug 15,"I want to step back a minute and give a shout out to the red headed step child of our favorite plant. Delta 8 Never complains never compromises and is always there when you’re in a bind respect delta, respect"
Aug 15,"What I can't wrap my mind around is how places only look at people's health as profit. So many customers tell me Delta 8 has medicinal properties that helps with sleep disorder, depression, anxiety, and offers pain relief. Yes, businesses should profit but overcharging people?"
Aug 15,DELTA 8 GUMMIES ARE NO JOKE
Aug 15,everyone be careful out there. the delta 8 in manhattan has kratom in it
Aug 15,I love Delta 8 gummies so much
Aug 15,took a delta-8 gummy and two melatonin’s and everything keeps blacking out
Aug 15,My sister gave me two delta-8 gummies once and told me they’d help me sleep Skull those bitches had me giggling at nothing lmfao she did me wronggg
Aug 15,delta 8 is sent from heaven
Aug 16,Tweakin off the delta 8
Aug 16,Hot take! Delta 8 THC is actually good
Aug 16,QUESTIONS ABOUT DELTA-8 THC
Aug 16,Ngl this delta 8 pen bussin
Aug 16,Getting my foot smashed and being unable to collect workers comp from Eating too much Delta 8 is my most Uncle move to date
Aug 16,I quit smoking weed for years and then my tomato let me DAB delta 8. Suffice to say I smoke weed again now LMAOOO
Aug 16,Delta 8 hit like CBD for me
Aug 16,Trying delta-8 weed (with is federally legal) and it’s nice! I really really want to try delta-10 tho bc it’s basically sativa
Aug 16,Delta 8 gummies damn near cooo
Aug 17,delta 8 made me realize it's the psychosis from smoking too much weed that I do enjoy
Aug 17,Yeah lol those edibles (was 200 mg of delta-8-thc) kicked my ass last night lmao
Aug 17,Delta 8 saving the day!
Aug 17,where do I get delta 8
Aug 17,Have you heard of delta 8 thc? Check out some info about it. I have suffered from depression for about 15 years. Recently tried this stuff and it has changed my life. Just a thought. Best of luck.
Aug 17,Okay so im now a cbd lover but delta 8 Loudly crying face… that’s different af
Aug 17,i luv delta 8
Aug 17,"Taking a nap. This hemp hemp hooray THC delta 8 powder to mix in water has HIT me. Also, imma need y'all to send $227 asap. Thanks"
Aug 17,"@smfordo A friend has had a bad reaction to Delta 8. (I would have told them to leave that shit at the store.) Any suggestions on what to do, besides emergency room? Website link maybe? Cc: @TheCannigma"
Aug 17,Here’s my review of Delta-8 CBD. It’s weed from the 90’s.
Aug 18,Bro why is delta 8 soo fucking harsh
Aug 18,Delta 8 is the only thing that helps some people.
Aug 18,"Delta-8 usually takes care of any insomnia I have, but when I want to listen to something while falling asleep it's usually old game shows."
Aug 18,"Yeah, Delta 8 didn’t do anything positive for me either. Another hyped up product that turned out to be a let down for me."
Aug 18,"I have chronic pain and this is the only thing that has truly helped. I've tried other CBD products. This does contain delta 8 THC, but it's very mild. I take 1/2 dropper 3-4 times a day. The site is constantly sending out 20-30% off coupon codes"
Aug 18,"I'm in need of some Nighttime Gummies, Joe. They definitely help me sleep & ease my joint pain! I'm hoping to get to try the new Delta-8 ones you've got now soon!"
Aug 18,Do Delta 8 be hitting y’all hard or nawl?
Aug 18,Help! I bought a delta 8 cart and now im stuck in a treasure chest and I keep telling people my name is Gaimon!!
Aug 18,"Cbd is an option but it makes me unable to sleep, delta 8 makes me really irritable seemingly. I might try some other smokeable herbs, I quit for like 3 weeks last winter smoking blue lotus and it wasn’t the worst. I’ve quit hard drugs, but weed seems harder??"
Aug 18,"I think it's Illegal in Iowa, but only because they banned almost every kind of weed adjacent product after some kid killed himself after taking some K2. CBD JUST got legalized this summer. I would love it if Delta 8 was available here."
Aug 19,Don’t sleep on the delta 8 gummies... iykyk
Aug 19,All we’re allowed to have in Bama is delta 8 bro! It sucks but I’ll take what I can get. Legalization is coming!!
Aug 19,"It's a fad derivative made from hemp isolate. Delta 8, Delta 10, and THC-0, and HHC are dangerous synthetics with no regulation. They are processed with harsh chemicals and acids. I'll keep to whole plant, and the entourage effect."
Aug 19,"lmaooo fr, delta 8 and 10 both fire"
Aug 19,I tested Delta-8 thc .. it is not a jokeeee!
Aug 19,"Tried Delta 8 for the first time the other day, its a bit different. Soon we will have the Delta 9 on the shelves. #Newyork"
Aug 19,Yea honestly I quit smoking and moved on to delta 8 stuff way different great high
Aug 19,My kids dad was injured in a shooting and delta 8 is helping with the ptsd. I wasn't a believer until now.
Aug 19,It's not for everyone. I take it you can't appreciate the one tiny difference of Delta 9 THC from Delta 8 THC Smiling face Many people who can't smoke marijuana can consume Delta 8. It's like half the strength of Delta 9. Did you read the article? Because you would know that if you did
Aug 19,"These delta 8 gummies are a game changer. We’ve been weening off of the kratom (we replaced pain medication with) by using the gummies. Granted we can only take, like, 1/16th of one unless we wanna go to the moon."
Aug 20,Delta 8 gummies had me off my ass last night
Aug 20,But she found a vape not a flash drive? Delta 8 is unregulated diet weed basically.
Aug 20,"It’s not really a strain though. “Regular” cannabis is delta 9. Delta 8 is like diet weed. Illegal in some states, barely legal in others. It’s unregulated. Stick to the delta 9 lol."
Aug 20,YO GUYS Face with tears of joyFace with tears of joyFace with tears of joy YOU TRY DELTA 8 ITS CRAZY!!!! ITS LEGAL aT 18 Face with tears of joyFace with tears of joy BUT IM NOT ACTUALLY HIGH BUT BRO I FEEL SOMETHING #weed #delta8 #thc #stoner #stonervibes #sesh #stonerbro #cool #gogreen #reefer #skunk #SnoopDogg
Aug 20,That delta 8 shit will have you sleep for 12 hours
Aug 20,“yeah delta 8 is just Weed Lite™” tru
Aug 20,took some delta 8 thc gummies a little while ago to try and help deal with SSRI side effects and relax after work Goddamn they’re kicked the fuck in baked snake
Aug 20,After smoking delta 8 for so long my body be like bitch quit playing
Aug 20,"umm, here ya go Karen, maybe a few drags of the Delta 8 will chill you out."
Aug 20,"I decided to take the @GrantBrisbee Delta 8 gummie challenge ( ok, so not a real thing but I am a HOF rationalizer); If you don’t hear from me by first pitch tomorrow check between the couch cushions."
Aug 20,"Fatigue and Pain. Pain, spasms, baclofen, Tizanidine at bedtime, antidepressant, Medical Cannabis if I can find or grow it. Lately Delta 8 Hemp derived Thc low level, very effective for pain w/o being too stoned. Terpenes an added benefit."
Aug 20,Guys just don't eat delta 8 gummies. That shit made my heart race and threw me into a panic attack and the ER lol
Aug 21,Delta 8 is like the weed we used to get in the 80's. You can smoke the shit out of it and you'll be ok.
Aug 21,someone told me that delta 8 is giving people epilepsy
Aug 21,We sell delta 8 live resin and its really nice!
Aug 21,It's a hot topic . ∆8 The Southern Hemp Expo was full of Delta 8.
Aug 21,Rocked off of delta 8 pens and gummies from Huck’s
Aug 21,//weed Forever grateful that delta 8 affects me as much as reg weed does
Aug 21,My shisha guy was trying to put me on that delta 8 bullshit
Aug 21,I’m cryin bc delta 8 will really have u on yo asssss
Aug 21,delta 8 edibles ain’t even all that
Aug 21,delta-8 is just boneless THC
Aug 22,yeah tht delta 8 sumn else
Aug 22,You guys be getting high off delta 8? tf am I doing wrong I ate a whole bag of caramels and felt nothing
Aug 22,"Yo, I just wanna put this out there, Delta 8 THC fuckin works. It's honestly quite lovely."
Aug 22,Ive been completely unable to find weed so Im gonna fuck my life up on a delta-8 vape.
Aug 22,Delta 8 gummies had me STUCK. Neva touching that shit again
Aug 22,so delta 8 is pretty much indica and delta 10 is sativa and delta 9 still illegal
Aug 22,them delta 8 edibles ain’t no jokeeee
Aug 22,"I am opioid dependent. No, not abuser. I have chronic pain. I want to microdose psilocybin and delta-8, but thanks to federal and state guidelines I'm not allowed to or I will lose my health care. Being sick fucking sucks. I wish we had actual options."
Aug 22,What is Delta-8 you may ask? A Perfect Neutral Place
Aug 22,And delta-8 sounds like something bad but it's just weed lite basically. Does more than CBD but slightly less than regular weed.
Aug 22,"they sell several kinds at peace street market! I also like delta 8 seltzers, I buy mine at Raleigh hemp company as an occasional splurge"
Aug 22,As an avid mary jane lover I can confirm delta 8 is whack
Aug 22,Leafly: Find out the word on the street from @moonwlkrthc devotees on how delta-8 is helping some people find a better night’s sleep & get your hands on a free sample pack of delta-8 gummies. #ad
Aug 23,"Scientists are simply not worried about delta 8, it's completely fine. They're only worried about the byproducts of delta 8 synthesis, which is necessary to concentrate it enough"
Aug 23,Honestly i get more high off a delta 8 cart than the weed that grows around here
Aug 23,delta 8 is life changing dude
Aug 23,these delta 8 gummies make even the most bland food taste amazing
Aug 23,I've ate some delta 8 edibles and it was pretty alright. Prefer normal weed.
Aug 23,"Delta 8 gummies get me right, guaranteed good sleep coming afterwards"
Aug 23,Im officially a fan of CBD and Delta 8….im on the band wagon lol
