statement,polarity,subjectivity
The DE MMJ dispensaries are still grossly overcharging patients. Compare the prices thesame companies charge at their franchises in other states to prove this. Price per ounce hereremains between $300 and $500. It is routinely in the $100 to $150 range elsewhere. TheyMSO dispensaries are charging this outrageous amount simply because they can.,-0.28125,0.4330357142857143
Almost allof the DE qualifying conditions are chronic—the renewal period should be 5 years.,0.0,0.0
"Watch out that the Recreational Market doesn't push out the Medical Patients. I watched ithappen in Boston. I worked at a dispensary during the Med only days up there. I also workedat that same dispensary when Rec sales opened up. This was very exciting and a huge win. Idon't think my organization anticipated that they would need to cut corners on production andreduce efficacy of products in order to meet the demand, especially from out of state patients.The out of state crowd won't be as large an issue due to the legalization in our neighboringstates, but profit motivation needs to be watched. Time will tell and I hope all the decisions aremade considering the health and wellness of all involved, not simply profit and programs andpolicy.",0.16792857142857143,0.5585714285714285
I am so appreciative that medical cards and dispensaries are available to those who need it.,0.3333333333333333,0.43333333333333335
Best health decision I've ever made with my doctor.,1.0,0.3
When will recreational marijuana be legalized in DE?,0.0,0.0
I like the medical system now.,0.0,0.0
Good,0.7,0.6000000000000001
"I would like to see the medical program be separate from the adult use program. I don't thinkits right to tax medical marijuana like you would Adult usage marijuana. To me this is amedicine that takes away pain. I'm not using it to get high, although its a nice side effect. But,as an older person, taxing medical marijuana might make it too expensive for me topurchcase. It's already right up there, i.e. more expensive than purchasing out of statemarijuana from a legal state. But I like knowing that I'm getting my product from a companythat grows its own product and I know exactly what the levels of the types of terpines,limonenes, etc. that are in the product.",0.14050595238095237,0.4309226190476191
"I think medical cannabis patients would need a good reason to keep a medical card if it's legalfor all adults. Maybe cheaper cannabis, in Denver, some dispensaries have separate entrances[medical customers and adult use customers].",0.19999999999999998,0.22500000000000003
I am very happy with the medical program. I feel safe and confident in all my purchases.,0.5,0.5833333333333334
"many of these questions should have allowed multiple answers to be checked, this is not agood survey.",0.25,0.25
Medical marijuana has been a godsend for me as an MZL patient and as a long Covid survivor.,-0.025,0.2
I research products and believe that Med weed is vital to my pain relief and sleep disorder,0.1,0.4
"I believe that the price is high, but the effects are worth it for the relief that it gives. Comparedto prescription drug prices, like Lyrica, medicinal marijauana is a lot more affordable.",0.32,0.37999999999999995
Doctorsshouldn’t charge $200 for filling out the application and the state should consider a greatreduction for the submission of the application.,0.0,0.0
Having to renew every year is too much. It’s a real cost burden - $250/year to the doctor for a5 minute phone call. The doctors are making a killing off of patients who need this medication.,0.2,0.30000000000000004
My Quality of life is much better with the use of cannabis!,0.625,0.5
MEDICAL MARIJUANA PATIENTS' VIEWS ON ADULT USE IN DELAWARE,0.05,0.15
I believe in adult use but until I have complete knowledge of the program I will stay withmedical. Medical provides all I need.,0.06666666666666667,0.2333333333333333
I'm glad to have a mm card as it helps my back.,0.25,0.5
More education and acceptance so that people to think it wrong or only for stoners. Weed hasa bad wrap,-0.17499999999999996,0.7666666666666666
"This program is awesome as I cannot tell you how much this has helped me! Though, I amvery surprised with the cost of the medical card (I compare it to charging someone/patient justfor the right to buy a prescription at a pharmacy?!?!?) and the overall cost of the medication(AKA flower) is higher than can be purchased on the street.",0.29234693877551027,0.4479591836734694
I am glad that we have medical dispensaries. I notice that there are a lot of older patients andthat this helps eliminate taking medication that can eventually cause adverse reactions on ourbodies.,0.2222222222222222,0.4444444444444444
Cannabis should be regulated like cigarettes but cheaper,0.0,0.0
It would be great if medical users were covered by insurance.,0.4,0.375
I think it’s crazy that the federal government and insurance co will pay for all the opiates youwant but not medical marijuana. No overdose deaths no added issues of addiction andincreased health issues.,-0.3,0.45
Please help keep us up to date on what's happening in the industry,0.0,0.0
RE: #28 I question the $11/gram. I must be going to the wrong dispensary because flower isabout $55 for 3.5 gram. (It was higher but has gone down a little.,-0.1482638888888889,0.5472222222222223
RE: #29 I would support it aslong as selling to adult use folks didn't impact the supply for medical users. Medical usersshould have priority.,0.03333333333333333,0.09999999999999999
Medical Marijuana costs too much money,0.1,0.1
I’m worried about being able to access good product with having a qualifying condition andthere being adequate inventory at dispensaries with the new adult use legislation.,0.3539393939393939,0.46257575757575753
I'm nervous that the medical places will be overrun with recreational users.,0.0,0.0
Medical patients should be allowed to grow their own plants.,0.3,0.5
"I have had my card 2-3 years, but that wasnt an option to choose.",0.0,0.0
"Also, answers 25-29 are notaccurate nor valid since I don't know what adult use is, and you required an answer in order forme to submit this survey.",0.1,0.3
If you have a medical card then health insurance should cover,0.0,0.0
Thanks for your email.,0.2,0.2
Medical Marijuana has effectively treated my condition significantly changed my quality of life.,0.325,0.5583333333333333
I will be happy when they take all legal restrictions off of medical cannabis for adults.,0.3333333333333333,0.39999999999999997
nan,0.0,0.0
"i think some type of consuling should be made available about long term use effects and such.its all a trade off/balance, but education in that area would help",0.17500000000000002,0.4
I am very impressed with the professional staff at my local dispensary.,0.3666666666666667,0.3666666666666667
"Medical Marijuana has been a game changer for me. I have more than one severe conditionthat requires the use of pain medication. Since receiving my medical marijuana card, I havebeen able sleep at night.",0.12,0.305
"I would like to see the same strains that help me with my medical issues availableconsistently. Also I feel that the patients that have a medical card, pay less than recreationalusers.",-0.041666666666666664,0.04791666666666666
I like knowing what I am getting as a safe product for my condition,0.5,0.5
"Authorization for medical patients to have Medicare/Medicaid pay for the cost of themedication would make this whole program work much better. Also, allowing patients to growtheir own, with regulatory inspection of allotted plants would make it perfect. Please considerallowing personal growing of plants for medical patients. Thank you.",0.32857142857142857,0.45714285714285713
"I believe most medical users know what helps them best. Most consultations with bud-tendersfor me have to with available inventory more than what benefits are to be had from theavailable inventory, if that makes sense.",0.48333333333333334,0.3666666666666667
"Also, I believe higher potency flower should bereserved for medical patients who may need high THC more than most adult users. The costof legal adult use cannabis might have to be lowered enough to compete with illegal cannabiswhich can be obtained for less than half of medical cannabis, albeit at the cost of diminishedquality control.",0.07512820512820514,0.31333333333333335
"Thanks for the survey. For me, question 15 was the most thought-provoking.",0.3666666666666667,0.3333333333333333
I'm happy that DE is making marijuana use legal.,0.5,0.6
all ok,0.5,0.5
I have many more questions about adult use.,0.3666666666666667,0.43333333333333335
"It's a good thing 4 people with conditions and recreational is good also ,people will drink lessnoone ever was killed by smoking, police smoke also they need to chill",0.39999999999999997,0.4000000000000001
CBD has helped my pain decrease more than anything else .,0.5,0.5
I use the oils,0.0,0.0
The price the doctor charges to sign paperwork is expensive when you are on a budget or justdon’t have 75 to 200 is an additional hardship.,-0.5,0.7
"Since using on the regular, I sleep better with less emphasis on trying to fall asleep. Hardlyany disruptive thoughts to my day or plan of the day.",0.11111111111111112,0.21452991452991452
nan,0.0,0.0
Do not combine DE Driver’s License with Medical Marijuana Card.,0.0,0.0
nan,0.0,0.0
I would not be able to eat without medical cannabis. I hope that medical takes priority overrecreational use.,0.16666666666666666,0.20833333333333334
"The only people again that can afford to open a weed shop are the rich, it’s ridiculously overpriced, they are crooks, pharmaceutical crooks.",0.010416666666666671,0.8125
nan,0.0,0.0
nan,0.0,0.0
I hope the price of medical marijuana comes down as legal weed becomes more available herein Delaware,0.18888888888888888,0.2777777777777778
nan,0.0,0.0
Cheaper prices or i wish insurance covered it.,0.0,0.0
I think alcohol use is worse or can be worse than medical weed.,-0.26666666666666666,0.39999999999999997
"I agree with having a card with a qualifying condition, at any age. If it helps with your condition/mental or physical.",0.0,0.14285714285714285
Medical patients should have a lower price for the marijuana they buy or any substance withThc . There needs to be priority for the medical patients over recreational users.,0.0,0.0
I will continue to apply for the MMC and purchase the tinctures that are beneficial to me.,0.0,0.0
I would like to see if participants can grow their marijuana by buying seeds for planting.,0.0,0.0
Lower Prices,0.0,0.0
"Because adult use will be coming in the future, it would be nice if the qualifying conditions formedical use would include more conditions. Also, many people with qualifying conditions havevery limited income, prices are high so it makes it very hard to afford the medication. PLEASEmake it more affordable!",0.22604497354497355,0.47911375661375666
nan,0.0,0.0
"Delaware's edible potency is awful. I don't use edibles because they are so weak, but woulduse them if Delaware allowed them to be stronger.",-0.6875,0.8125
"The Farm in Felton, DE is the best.",1.0,0.3
I would like there to be specifically labelled and easily distinguished organic cannabis. I believeA LOT of non organic fertilizers are used in all cannabis grown in Delaware.,0.43333333333333335,0.8333333333333334
CBD oil’s work.,0.0,0.0
Medical marijuana has been a life saver when it comes to having MS.,0.0,0.0
Medical Cannabis has helped me thru. my physical painful days,-0.2333333333333333,0.34761904761904766
"I feel that medical marijuana is safer than alcohol. My concern with marijuana is, if notpurchased from a medical dispensary; it may be laced with deadly drugs. Persons under theage of 21 are buying marijuana illegally and I worry about them getting laced marijuana.",-0.175,0.225
Be responsible ain't heard of no one dying of or for weed. Unless it was with other illegals.,0.037500000000000006,0.4625
Knowledge is the keystone to behavior change.,0.0,0.0
Delaware needs better selection and lower prices...if you can't do that I'll be getting my stufffrom Maryland.,0.5,0.5
I am grateful for the new laws but would like to keep my medical card. Thank you for all youdo!,0.06818181818181818,0.22727272727272727
"I go to Smyrna, DE & everyone there has been magnificent. I've never dealt w/ stuff like thisb4 so it's all new & they don't make me feel stupid for asking.",0.11212121212121211,0.8181818181818182
Delaware should have passed the legalization years ago …,0.0,0.0
As a medical use patient I prefer having our own provider or store. I'll all for adult rec use butthe places we go to now know about my disabilities and are vary set up to cater to the disabledcommunity and our needs which our more in depth than everyday adult rec users.,0.18333333333333335,0.44999999999999996
I’m hoping that the legalization of adult use cannabis will lead to more options at lower cost tomedical users.,0.3,0.4
I hope that medical use remains at the normal price,0.075,0.32499999999999996
My hope is to have a location closer to my area of Sussex county. Lower Delaware. Thank You,0.0,0.0
I use medical marijuana for fibromyalgia. It helps immensely with chronic pain and sleepissues.,0.0,0.5
I am a reserved user so all this is new to me. I just started using for the pain I have,0.13636363636363635,0.45454545454545453
Home grown needs to be added to our state. SUPPORT HOME GROWN PLANT COUNTS!!!!,0.0,0.0
I think the doctors asking for Hundreds of dollars for signing a medical patients card is a formof taking advatage of our pain since he already agreed it would help us instead of takingopioids which they dont charge a fee for.I think the state $50.00 fee is all we should have topay for besides the products we use for our pain.,0.0,0.0
No additional comments,0.0,0.0
Thank u and enjoy,0.4,0.5
Medical patients should be allow home grow where recreational should not. Medical cardsshould grant you the legal right to grow your own. We cannot afford the dispensary prices andstruggle to get what we need due to the high costs. Medicinal Marijuana in DE costs me morethan my insurance premiums and copays combined.,0.1601020408163265,0.3786734693877551
my condition has no cure; it’s is a crime that you make me requalify each year; like everyyear? it’s insulting and demeaning care. This is medicine to help people.,-1.0,1.0
Please keep medical marijuana to lawful patients only - think of it as a medical conciergepractice.,0.0,0.25
The employees at the dispensary have been more friendly in the past year.,0.20833333333333334,0.4166666666666667
"My doctor put a negative report about my cannabis use in my portal. I thought he was happythat I was doing better with my pain. The medical professional are negative and only protectingtheir practice and the insurance company read those reports. In the future I will STOP tellingany doctor that I use cannabis. To conclude, Life insurance companies can turn me downbased on the above information. It's a *****show.",6.938893903907228e-18,0.328125
Medical Marijuana has helped me to control my life. Fewer panic attacks and anxiety attacks.I'm also more social.,0.17777777777777778,0.18888888888888888
It helps me greatly finally in my lifetime.,0.0,1.0
I am afraid that the medical quality will go down if Adult use is lumped in the same dispensary,-0.13111111111111112,0.3227777777777778
No comment,0.0,0.0
"Let us grow our own, like other states, set a limit number of plants.",0.2375,0.6875
"I prefer to use TIKUN ""OR"" it worked the best for my pain. But I can no longer it in Delaware.They come out with all the new strains for the the people just doing it for recreation.",0.5681818181818181,0.37727272727272726
But do notkeep the stuff around that works for pain.,0.0,0.0
I do not understand that. 1 ouch would last me awhole year if I could get the one that actually works to get rid of my pain.. I do not buy a lotbecause 90% of it gives me a headache which defeats the purpose.,0.0,0.08333333333333334
I’m still experimenting with it for pain management.,0.0,0.0
Each citizen should be able to grow 10 plants at their residence for personal use then tax it at$25 per plant one time fee,0.25,0.4625
Dispensary prices are too high,0.16,0.5399999999999999
thanks for all you do!,0.25,0.2
Bringing down the price of medical marijuana either through insurance coverage or chargingnon card holders more would be fantastic. Each of my 1 gram gap cartridges cost $100 withoutany discounts while my friend in Maine can buy the same exact stuff for half the cost of what Ipay.,0.11825396825396826,0.3186507936507937
I’m really happy with having my card very good product and assessable thank you,0.855,0.8900000000000001
