date,tweet,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound
Sep 14, Delta 8 is fire Red heart happy puffing,0.333,0.216,0.45,0.3182
Sep 14, HYDRATE!!!! delta 8 is kinda drying!,0.0,0.0,1.0,0.0
Sep 14," I agree with Dinah; if forced to choose, I'd pick whole plant cannabis over whatever random chemicals might be in the unsupervised regulation of delta 8 (or even delta 8 itself); at least cannabis has been used for thousands of years and we know the harms more or less.",0.048,0.12,0.832,-0.5719
Sep 14, I don't understand why the FDA and CDC can't get hemp products regulated. I get it that the marijuana industry is upset and lobbying against Delta-8 but come on...LEGALIZE AND REGULATE.,0.0,0.098,0.902,-0.2382
Sep 14," FDA And CDC Issue Warnings On Hemp-Derived Products Containing Delta-8 THC On Tuesday, the Food and Drug Administration (FDA) and Centers for Disease Control and Prevention (CDC) issued warnings to consumers about the potential risks of consuming unregulated products...",0.0,0.153,0.847,-0.6705
Sep 14, ngl the delta 8 gummies kinda hit,0.0,0.0,1.0,0.0
Sep 14," ""Adverse events included vomiting, hallucinations, trouble standing, and loss of consciousness.""

More studies are definitely needed on delta-8 THC. Also - I'd like to see more analytical chemistry on these products (purity, adulterants, residual solvents!).",0.129,0.184,0.686,-0.3244
Sep 14," The American Association of Poison Control Centers (AAPCC) began monitoring adverse events tied to delta-8 THC and found that from Jan. 1 to July 31, 2021, there were 660 reports of delta-8 THC exposure, nearly 20% of which required hospitalization, according to the CDC.",0.0,0.128,0.872,-0.7184
Sep 14, You not even getting high off that delta 8 shit. Just migraines for the rest of your life,0.0,0.184,0.816,-0.5574
Sep 14," For the science guys: Delta-8 marijuana products can be dangerous, health officials warn",0.0,0.29,0.71,-0.5423
Sep 14," What are the effects and benefits of delta-8 THC? It largely depends on your body chemistry, dose, and product quality, but by and large users report it gives a more clearheaded and less potent experience than delta-9. Tip: Try gummies for a mellow intro and gauge the vibes",0.038,0.0,0.962,0.2023
Sep 14, It's a health and safety thing.  People will put anything in their body nowadays.  Clean or not.  Delta 8 from og source can be great for people BUT more teating and what needa tk be done cause ppl oit here decarbing and converting it from other cannabanoids.,0.13,0.0,0.87,0.6486
Sep 14, I think the most (only?) helpful reminder from this is that Delta-8 THC products often involve use of potentially harmful chemicals to create the concentrations of delta-8 THC.,0.172,0.0,0.828,0.6344
Sep 14, Delta 8? More like Delta Gr8,0.628,0.0,0.372,0.7755
Sep 14," FDA, CDC issue delta-8 THC warnings after 100-plus end up in hospitals: More than 100 people in the United States have been hospitalized this year after consuming delta-8 THC products, federal health regulators warned Tuesday. The hospitalizations… ",0.068,0.105,0.827,-0.128
Sep 14," I vape Delta 8 - it does the job, won’t get you as high as normal bud in mass quantities, but if you’re just looking for a buzz it’s worth a try!",0.092,0.0,0.908,0.3903
Sep 15, Delta-8 THC draws warning from feds as Illinois again tries to crack down on the hemp product known as ‘diet weed’,0.0,0.107,0.893,-0.34
Sep 15, FDA Issues Warnings on Delta-8 THC Products,0.0,0.268,0.732,-0.296
Sep 15, FDA and CDC Issue Warnings Regarding Health Risks of Using Delta-8 THC Products,0.0,0.281,0.719,-0.5106
Sep 15," Definitely indica! You could also look into delta 8, it’s helped me a ton with my anxiety!!",0.186,0.088,0.726,0.4359
Sep 15," Health Advisory about Delta-8-THC: 

- Typically in small amounts in #cannabis
-  Made at high concentrations in some hemp and CBD products
- Adults & kids hospitalized after ingestion, w/ symptoms of cannabis intoxication
- No antidote",0.0,0.066,0.934,-0.296
Sep 15," Delta-8 Cannabis Products Can Cause Scary Health Effects, the CDC and FDA Warn - Self",0.0,0.277,0.723,-0.5574
Sep 15, What delta 8 carts ya’ll like? I haven’t found one that hit.,0.217,0.0,0.783,0.3612
Sep 15," From January 1 to July 31, 2021, 660 delta-8 THC exposures were recorded with the new product code, and one additional case was recoded as a delta-8 THC exposure from October 2020. Eighteen percent of exposures (119 of 661 cases) required hospitalization, and 39% (258 of 661",0.0,0.0,1.0,0.0
Sep 15," Manufacturing of delta-8 THC products may occur in uncontrolled or unsanitary settings, which may lead to the presence of unsafe contaminants or other potentially harmful substances.",0.0,0.074,0.926,-0.25
