date,tweet,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound
Aug 14,I mentioned a few weeks ago about one of my neighbors has Parkinsons so bad he can't function. I saw him and he wasn't shaking at all from eating a Delta 8 gummy. I saw him today again and his life has totally turned around.,0.035,0.104,0.86,-0.6089
Aug 14,QUESTIONS ABOUT DELTA-8 THC,0.0,0.0,1.0,0.0
Aug 14,A large Fuzzy Navel and a Delta 8 CBD gummie and I’m probably going to be asleep in a moment,0.0,0.0,1.0,0.0
Aug 14,my mom gave me “CBD” gummies and then comes back like “ oh those are actually delta8” GIRL HUHHH IM GONE,0.116,0.0,0.884,0.3612
Aug 14,delta 8 made me realize it's the psychosis from smoking too much weed that I do enjoy,0.186,0.0,0.814,0.4939
Aug 14,I should’ve never taken that delta 8 edible cause now I’m throwing up in the T.G.I. Friday’s parking lot!,0.0,0.0,1.0,0.0
Aug 14,Delta 8 is PG-13 weed,0.0,0.0,1.0,0.0
Aug 14,"""Some are using #delta8 #THC to help heavy consumers lower their tolerance to delta-9. Even slight improvements in the relative potency of #delta9 based on reduced tolerance can equal significant monetary savings.""",0.284,0.056,0.66,0.7906
Aug 14,taking enough delta 8 gummies to not feel like a giant needle was in my spine yesterday,0.0,0.131,0.869,-0.2755
Aug 14,in heaven everything is made of delta 8,0.355,0.0,0.645,0.5106
Aug 15,faded off this delta 8 variant,0.0,0.0,1.0,0.0
Aug 15,Delta 8 be fucking me upLoudly crying faceLoudly crying face,0.0,0.49,0.51,-0.7735
Aug 15,"I want to step back a minute and give a shout out to the red headed step child of our favorite plant. Delta 8 Never complains never compromises and is always there when you’re in a bind respect delta, respect",0.297,0.0,0.703,0.893
Aug 15,"What I can't wrap my mind around is how places only look at people's health as profit. So many customers tell me Delta 8 has medicinal properties that helps with sleep disorder, depression, anxiety, and offers pain relief. Yes, businesses should profit but overcharging people?",0.187,0.15,0.663,0.2263
Aug 15,DELTA 8 GUMMIES ARE NO JOKE,0.297,0.297,0.405,0.0
Aug 15,everyone be careful out there. the delta 8 in manhattan has kratom in it,0.118,0.0,0.882,0.1531
Aug 15,I love Delta 8 gummies so much,0.512,0.0,0.488,0.6369
Aug 15,took a delta-8 gummy and two melatonin’s and everything keeps blacking out,0.0,0.0,1.0,0.0
Aug 15,My sister gave me two delta-8 gummies once and told me they’d help me sleep Skull those bitches had me giggling at nothing lmfao she did me wronggg,0.145,0.188,0.668,-0.3716
Aug 15,delta 8 is sent from heaven,0.452,0.0,0.548,0.5106
Aug 16,Tweakin off the delta 8,0.0,0.0,1.0,0.0
Aug 16,Hot take! Delta 8 THC is actually good,0.347,0.0,0.653,0.4926
Aug 16,QUESTIONS ABOUT DELTA-8 THC,0.0,0.0,1.0,0.0
Aug 16,Ngl this delta 8 pen bussin,0.0,0.0,1.0,0.0
Aug 16,Getting my foot smashed and being unable to collect workers comp from Eating too much Delta 8 is my most Uncle move to date,0.0,0.0,1.0,0.0
Aug 16,I quit smoking weed for years and then my tomato let me DAB delta 8. Suffice to say I smoke weed again now LMAOOO,0.0,0.0,1.0,0.0
Aug 16,Delta 8 hit like CBD for me,0.333,0.0,0.667,0.3612
Aug 16,Trying delta-8 weed (with is federally legal) and it’s nice! I really really want to try delta-10 tho bc it’s basically sativa,0.207,0.0,0.793,0.6077
Aug 16,Delta 8 gummies damn near cooo,0.0,0.403,0.597,-0.4019
Aug 17,delta 8 made me realize it's the psychosis from smoking too much weed that I do enjoy,0.186,0.0,0.814,0.4939
Aug 17,Yeah lol those edibles (was 200 mg of delta-8-thc) kicked my ass last night lmao,0.38,0.15,0.47,0.6597
Aug 17,Delta 8 saving the day!,0.0,0.0,1.0,0.0
Aug 17,where do I get delta 8,0.0,0.0,1.0,0.0
Aug 17,Have you heard of delta 8 thc? Check out some info about it. I have suffered from depression for about 15 years. Recently tried this stuff and it has changed my life. Just a thought. Best of luck.,0.16,0.153,0.687,0.0772
Aug 17,Okay so im now a cbd lover but delta 8 Loudly crying face… that’s different af,0.203,0.218,0.579,-0.3182
Aug 17,i luv delta 8,0.0,0.0,1.0,0.0
Aug 17,"Taking a nap. This hemp hemp hooray THC delta 8 powder to mix in water has HIT me. Also, imma need y'all to send $227 asap. Thanks",0.212,0.0,0.788,0.7351
Aug 17,"@smfordo A friend has had a bad reaction to Delta 8. (I would have told them to leave that shit at the store.) Any suggestions on what to do, besides emergency room? Website link maybe? Cc: @TheCannigma",0.072,0.253,0.675,-0.7941
Aug 17,Here’s my review of Delta-8 CBD. It’s weed from the 90’s.,0.0,0.0,1.0,0.0
Aug 18,Bro why is delta 8 soo fucking harsh,0.0,0.347,0.653,-0.4927
Aug 18,Delta 8 is the only thing that helps some people.,0.245,0.0,0.755,0.3818
